Direction,Date,Message
Sent,"2025-09-01 21:33:38","HEY SHITHEAD PUT THE DICK DOWN"
Sent,"2025-09-01 21:33:43","but….. i would never "
Sent,"2025-09-01 21:33:45",ever
Sent,"2025-09-01 21:33:49","EVVVVVER "
Sent,"2025-09-01 21:33:55","even think about doing some dumb shit like that"
Sent,"2025-09-01 21:34:12","also it doesn’t like alert me when you go on the camera so you don’t have to feel weird about it "
Sent,"2025-09-01 21:34:22","i mean if you trigger the speaker i will obviously know but"
Sent,"2025-09-01 21:34:34","you can always check in to make sure i’m behaving "
Sent,"2025-09-01 21:34:44",:)
Sent,"2025-09-01 21:34:47","i like you a lot"
Received,"2025-09-01 21:34:48","Is that right?"
Sent,"2025-09-01 21:38:08","that is so"
Received,"2025-09-01 21:38:09","I seeeee you"
Received,"2025-09-01 21:38:12","Well no"
Received,"2025-09-01 21:38:14",But
Sent,"2025-09-01 21:38:26","you will now
"
Sent,"2025-09-01 21:38:36","seeee i told you i won’t steer you into some wrong shit"
Sent,"2025-09-01 21:38:38","hacker shit"
Received,"2025-09-01 21:38:59","￼"
Sent,"2025-09-01 21:38:59","just kidding i just compromised your whole mainframe and now all your most sensitive data is compromised"
Received,"2025-09-01 21:39:03","What the fuck is this?"
Sent,"2025-09-01 21:39:25","hahahah i framed it"
Sent,"2025-09-01 21:39:29","and when the camera restarts"
Received,"2025-09-01 21:39:31","Now I’m pissed"
Received,"2025-09-01 21:39:32",No
Received,"2025-09-01 21:39:38",Wtf
Sent,"2025-09-01 21:39:38","camera on"
Sent,"2025-09-01 21:39:41","watch live"
Received,"2025-09-01 21:40:12","Why tf would you do that thoooooo"
Sent,"2025-09-01 21:40:32","do you see my wall?!?!?"
Sent,"2025-09-01 21:40:36","lmao "
Sent,"2025-09-01 21:40:49","it’s the aesthetics "
Received,"2025-09-01 21:41:14","Yea we know"
Sent,"2025-09-01 21:41:50","fuck i gotta cut the margins from your picture but"
Sent,"2025-09-01 21:41:54","we’ll get there"
Sent,"2025-09-01 21:42:15","i think you can"
Sent,"2025-09-01 21:42:18","spin the camera too"
Sent,"2025-09-01 21:42:20","idk maybe"
Sent,"2025-09-01 21:42:50","hold i’ll fix"
Sent,"2025-09-01 21:42:54","try to swipe maybe"
Sent,"2025-09-01 21:43:05","milo is so confused"
Sent,"2025-09-01 21:45:37","are we having fun yet"
Sent,"2025-09-01 21:46:09","we’re doing a reading"
Sent,"2025-09-01 21:47:36","(remember only major arcana)"
Sent,"2025-09-01 21:47:40","past: the hermit"
Sent,"2025-09-01 21:47:55","present: the devil (reverse)"
Sent,"2025-09-01 21:48:09","future: the heirophant"
Sent,"2025-09-01 21:48:31","now we ask chatgpt what it means because we’re too dumb to figure it out ourselves"
Sent,"2025-09-01 21:50:45","are you"
Sent,"2025-09-01 21:50:51","going to make me wear the blackout mask"
Sent,"2025-09-01 21:51:41","((( DON’T CALL IT A GIMP MASK NOT A GIMP MASK )))"
Sent,"2025-09-01 21:56:22","can you hear"
Sent,"2025-09-01 22:00:26","do you trust me yet 🥺"
Received,"2025-09-01 22:07:17",Hiiii
Received,"2025-09-01 22:07:46","What is this?"
Sent,"2025-09-01 22:09:24","first of all are you enjoying my wonderful keyboard serenade lmao"
Sent,"2025-09-01 22:09:26","second of all"
Sent,"2025-09-01 22:09:42","it’s exactly what it sounds like"
Received,"2025-09-01 22:09:53","No it won’t load"
Sent,"2025-09-01 22:10:59","omg i will kill you i just spent 15 minutes "
Sent,"2025-09-01 22:11:04","playing like ray charles with my head in the air"
Sent,"2025-09-01 22:11:10","with the stupid blackout mask on"
Received,"2025-09-01 22:11:13",Lmao
Sent,"2025-09-01 22:11:13","for nothing lmao"
Sent,"2025-09-01 22:11:23","i gave it 110%"
Sent,"2025-09-01 22:11:44","see i told you this would be fun/useful"
Received,"2025-09-01 22:11:48","Okay NOW it’s back and repositioned "
Sent,"2025-09-01 22:11:58","on the piano?"
Sent,"2025-09-01 22:12:05","YOU GET ONE MORE SHOT AT DAN CHARLES"
Received,"2025-09-01 22:14:20",Babbbbeeeee
Received,"2025-09-01 22:14:37","Okay I heard for a solid 2 minutes now it’s frozen again"
Received,"2025-09-01 22:14:50","You’re so talented "
Received,"2025-09-01 22:15:02","￼"
Received,"2025-09-01 22:15:10",Lol
Received,"2025-09-01 22:15:20","As I’m watching the LOML"
Sent,"2025-09-01 22:15:50","lmao if only he knew"
Sent,"2025-09-01 22:15:54","for some reason"
Sent,"2025-09-01 22:16:02","i think that i gave you the camera access"
Sent,"2025-09-01 22:16:04","and not him "
Sent,"2025-09-01 22:16:09","would be the thing that set him off"
Received,"2025-09-01 22:16:11","I wish I could text at the same time"
Sent,"2025-09-01 22:16:13","no idea why he would want it"
Received,"2025-09-01 22:16:28","Tell him"
Sent,"2025-09-01 22:16:28","i have to run out to get cigarettes for suz real fast i’ll be back innnnnnnnn"
Sent,"2025-09-01 22:16:31","6 mins"
Sent,"2025-09-01 22:16:35","you can call if you wa"
Received,"2025-09-01 22:16:38","Mmmmmmmmm …."
Sent,"2025-09-01 22:16:38","can i?"
Received,"2025-09-01 22:16:58","We don’t have FUCKING SERVICE but yes please God try"
Received,"2025-09-01 22:17:14","Oh wait leave? I mean"
Sent,"2025-09-01 22:17:22","￼"
Received,"2025-09-01 22:17:26","I don’t want you to but sure "
Received,"2025-09-01 22:17:46","Loved an image"
Sent,"2025-09-01 22:17:50","i’ll be so fast "
Sent,"2025-09-01 22:18:01","also i’m in comfy’s already i am going nowhere else lmao"
Received,"2025-09-01 22:18:04","Okay be safe 😘 "
Sent,"2025-09-01 22:18:06","tom called m"
Sent,"2025-09-01 22:18:10",unhi
Received,"2025-09-01 22:18:12","JusJust now?"
Sent,"2025-09-01 22:18:16","huge compliment"
Sent,"2025-09-01 22:22:31","￼"
Received,"2025-09-01 22:23:29"," I"
Received,"2025-09-01 22:23:36","No ….."
Received,"2025-09-01 22:23:56","I don’t like when you crop shit"
Received,"2025-09-01 22:24:04","Go up"
Received,"2025-09-01 22:24:12","Leave and come back"
Received,"2025-09-01 22:24:13",Go
Sent,"2025-09-01 22:24:29","￼"
Sent,"2025-09-01 22:24:48","i really was just cropping to get to the relevant point but yes enchantresss"
Received,"2025-09-01 22:25:00","Oh lol thank you 😊 "
Sent,"2025-09-01 22:25:16","i love you i’mleaving now be right back "
Received,"2025-09-01 22:25:27","Loved “i love you i’mleaving now be right back ”"
Received,"2025-09-01 22:28:24","Why is he talking SHIT still lol God wtf"
Received,"2025-09-01 22:30:50","￼"
Received,"2025-09-01 22:48:17","Just go"
Received,"2025-09-01 22:48:32","￼"
Sent,"2025-09-01 22:49:45","I'm gonna be such a hypocrite and smoke this blunt right now"
Received,"2025-09-01 22:50:02",Whaaaaaaa?
Sent,"2025-09-01 22:50:07","I just have to pretend like I forgot about the entire Point of the massage thing that's going on here"
Received,"2025-09-01 22:50:24","Call me then"
Received,"2025-09-01 22:50:36","Or wtf"
Received,"2025-09-01 22:50:42","Idk just tell me lol"
Received,"2025-09-01 22:50:48","Fuck it. Let em live"
Received,"2025-09-01 22:51:03","Should have said BRB"
Received,"2025-09-01 22:51:27","I’m trying to massage tf out of you fr"
Sent,"2025-09-01 22:51:41","Show me you"
Received,"2025-09-01 22:52:12","What do you want to see?"
Received,"2025-09-01 22:52:36",Wait
Received,"2025-09-01 22:52:47","Lol you’re not fooling me"
Received,"2025-09-01 22:52:51","I got you tho"
Sent,"2025-09-01 22:54:40","i’m done now with eeeeeeverything i’m all yours  until you tell me it’s time to sleep"
Sent,"2025-09-01 22:55:11","lol if you actually find this dynamic as much fun as i do we’re going to set the world on fire"
Sent,"2025-09-01 22:55:28","i love to surrender to you"
Sent,"2025-09-01 22:55:45","YOU NEEDED TO BE ON THE CAMERA. MILO WAS EATING THE FUCKING BUTTERFINGER"
Received,"2025-09-01 22:57:18","He gon die"
Received,"2025-09-01 22:58:13","￼"
Received,"2025-09-01 22:58:17","It’s darkkkk I’m omw "
Sent,"2025-09-01 22:59:57","omg omg omg"
Sent,"2025-09-01 23:00:00","come now"
Sent,"2025-09-01 23:00:04","there is a button to press"
Sent,"2025-09-01 23:00:06","for you to hear me"
Received,"2025-09-01 23:05:37","I’m so fucking madddddddd"
Received,"2025-09-01 23:05:41","And saddddd"
Received,"2025-09-01 23:05:43","It’s hit"
Received,"2025-09-01 23:05:53","But I’m thankful for what I did see"
Sent,"2025-09-01 23:06:30","It definitely isn't meant to be used as like back-and-forth communication or at least it's terrible at it but the point is you always can check up and make sure I'm not into some nonsense"
Sent,"2025-09-01 23:06:54","But yeah they're terrible cameras they were cheap when I got them seven years ago"
Received,"2025-09-01 23:07:41","It’s beyond the audio it froze 28 times"
Received,"2025-09-01 23:08:13","I feel like why is it the camera and not the internet connection?"
Received,"2025-09-01 23:08:50","Why am I obsessed with you? What the fuck are you trying to do to me?"
Received,"2025-09-01 23:09:31","I’m so serious"
Sent,"2025-09-01 23:09:37","Well I'm glad you could finally fucking join me because this is what I've been going through since like Wednesday"
Received,"2025-09-01 23:09:50","I’ve been here"
Sent,"2025-09-01 23:09:57","Yeah me too I mean I know I'm the pursuer here but this is a bit much even for me"
Received,"2025-09-01 23:10:09","I’m just good at self control in particular areas "
Sent,"2025-09-01 23:10:18","i mean there is a real thing here where like"
Sent,"2025-09-01 23:10:43","i’ve just never met anyone who i can be like this with "
Sent,"2025-09-01 23:11:11","and i swear"
Sent,"2025-09-01 23:11:16","i knew NOTHING about you"
Sent,"2025-09-01 23:11:22","not that you liked politics"
Sent,"2025-09-01 23:11:37","not that you were smart and funny as fuck"
Sent,"2025-09-01 23:12:02","for real i didn’t even know what you looked like - i saw you for like 30 seconds and that was it"
Sent,"2025-09-01 23:12:31","i HAVE to think that tom was well aware i would fall straight down the rabbit hole "
Sent,"2025-09-01 23:12:39","into the kristin hole"
Sent,"2025-09-01 23:13:19","seriously though - you kept pre-empting your expectations when we talked about it like they were tough sells"
Sent,"2025-09-01 23:13:38","but they are perfect"
Sent,"2025-09-01 23:13:43","you are perfect"
Sent,"2025-09-01 23:14:07","also i really can do this indefinitely "
Sent,"2025-09-01 23:14:35","the passion is the point"
Sent,"2025-09-01 23:14:48","we could lust over each other forever"
Sent,"2025-09-01 23:15:58","are you worried at all about what happens when we hang"
Received,"2025-09-01 23:16:15","Okay. For what it’s worth you feel like … everything I ever knew in life. It’s difficult to phrase currently but we’ll just call it a familiarity or .. comfortability. I truly think you’re just as amazing but I have to tread lightly right now"
Received,"2025-09-01 23:16:24","Loved “we could lust over each other forever”"
Received,"2025-09-01 23:16:42","Worried? Not the correct term at all"
Sent,"2025-09-01 23:17:13","i told you my plan - you need to know that you don’t have to feel badly or like i’m going to dislike you or something if you need to adjust my expectations"
Sent,"2025-09-01 23:18:23","but i feel like there’s way too much potential for me to sit back and just see what happens. i’m going to keep making clear that i think you’re a fucking angel and i think i could give you some shit that you’re not going to get elsewhere"
Sent,"2025-09-01 23:19:04","also - i hope i haven’t made you feel like you need to be matching the more wild shit i’m doing"
Sent,"2025-09-01 23:21:20","this is where i feel the difference too…this is exactly the kind of comment that with anybody else i would be super deflated about (unjustifiably)"
Sent,"2025-09-01 23:22:22","idk why i don’t feel that way at all. there’s something here i can feel it"
Received,"2025-09-01 23:23:53","Uhhh which part?"
Sent,"2025-09-01 23:27:53","i swear to god i would usually interpret “i need to tread lightly” as disinterest.

i mean it’s obviously not and i can see from an unemotional place that it’s not only not a negative piece of feedback but it’s totally reasonable"
Sent,"2025-09-01 23:28:43","i think it’s a combination of my comically low self-confidence and my aversion to chasing someone who doesn’t already want to be together"
Sent,"2025-09-01 23:29:25","but the real point is that everything about this feels different, and i’m approaching differently from the start"
Sent,"2025-09-01 23:31:15","kristin i’ve been acting like such an idiot for almost a year now…like just embarassing myself for literally nothing in return. i mean nothing nothing. like no apology after getting caught cheating nothing"
Received,"2025-09-01 23:32:47","Who? Your x?"
Sent,"2025-09-01 23:33:06","so not only is your ability to be like…a real fucking person is just the biggest breath of fresh air…

but i don’t think even you realize the extent to which we are like 1:1 match on top of that"
Received,"2025-09-01 23:33:19","Loved “so not only is your ability to be like…a real fuck…”"
Sent,"2025-09-01 23:33:21","yes but it’s not about her, it’s about you"
Sent,"2025-09-01 23:33:58","like i knew i was acting retarded…i was just in such a fucking hole and had so much change all at once that i kinda just froze "
Sent,"2025-09-01 23:34:54","it was always bad and it would always have been bad…that’s why i’m saying it’s you and the contrast you bring that is really the only thing i’ve even been hung up on"
Sent,"2025-09-01 23:35:46","i just want to like"
Sent,"2025-09-01 23:37:12","give you all the reasons i can to see that this is fucking weird and different….and kinda magic "
Sent,"2025-09-01 23:37:55","i feel like that’s on me, and if/when you feel like that’s something you can believe in"
Sent,"2025-09-01 23:38:20","then there’s an entire world for us to explore"
Received,"2025-09-01 23:38:52","I adore you to my literal core"
Sent,"2025-09-01 23:42:37","when i asked earlier if you were worried about the hang"
Sent,"2025-09-01 23:43:11","i feel so sure that it’s going to be a real vibe"
Sent,"2025-09-01 23:43:30","i also don’t want to spook you "
Received,"2025-09-01 23:43:41","How, lol"
Sent,"2025-09-01 23:44:42","if you are as much like me as i think you are "
Sent,"2025-09-01 23:45:27","then i think the euphoria or attraction or fixation or whatever the intensity is will be pretty profound"
Sent,"2025-09-01 23:46:31","and i don’t want to make you think “oh fuck this is too real” or “i don’t want to risk getting hurt by jumping into something that feels so untested and new”"
Sent,"2025-09-01 23:48:06","i mean there really are reasons why i have chosen to put myself out there and throw you some of these things that might show you that i’m not going to fuck around with you. that i take trust really seriously "
Received,"2025-09-01 23:48:53","I …. Will do as I please honestly I mean I’m going to attempt to keep my composure but really I want to just sit on top of you and lick on your neck but"
Sent,"2025-09-01 23:49:22","i knooooow i knowwwww i’m just telling you that i am here and all i’ve thought about is like"
Received,"2025-09-01 23:49:30","I’m trying to bite the back of your neck like a fuckin … mom cat lol"
Received,"2025-09-01 23:49:38","Loved “i knooooow i knowwwww i’m just telling you that i …”"
Sent,"2025-09-01 23:49:44","what is the right way to show this girl that i could literally love her forever and i’m totally sure of that"
Received,"2025-09-01 23:50:15","I’m dreaming. Can’t be real"
Sent,"2025-09-01 23:51:03","i can not wait to see what you feel like and how you do dumb small things "
Sent,"2025-09-01 23:51:45","again this is a confidence i usually don’t have but"
Sent,"2025-09-01 23:52:48","i really think this is going to be a 4 hour body ….((I CAN”’T SPELL IT HOLD ON LOL)"
Sent,"2025-09-01 23:53:07","oh i had it righ"
Sent,"2025-09-01 23:53:26","a fucking Séance"
Sent,"2025-09-01 23:53:41","where did you fucking come from"
Sent,"2025-09-01 23:53:59","if you say akron i’m going to smash my face into the sink "
Sent,"2025-09-01 23:58:09","i promise you, and i mean this sincerely, you are different. and you’re the first person (male or female) that i recognize as being the same different that i feel"
Sent,"2025-09-01 23:59:53","excuse the cheese but it really is like - i don’t feel so alone or misunderstood. there’s at least one person, who happens to be the most stunningly gorgeous girl, that understands."
Sent,"2025-09-02 00:00:50","okay that’s enough cheese for two non wine drinkers.

i’m so glad we clarified what happened earlier too, i feel like it’s a huge difference between even ‘sometimes’ drinkers and what you and i are"
Sent,"2025-09-02 00:02:46","￼do you know this fucking SMOKESHOW on my computer"
Sent,"2025-09-02 00:03:34","please let me fuck you without makeup you’re perfect"
Sent,"2025-09-02 00:06:18","i want to see how long you can actually to eye to eye, no hands, no clothes, just pressed against each other before you lose your mind"
Sent,"2025-09-02 00:11:12","  ￼"
Sent,"2025-09-02 00:15:57","￼"
Sent,"2025-09-02 01:15:30","￼"
Sent,"2025-09-02 01:15:38","bad filming again but……i try"
Sent,"2025-09-02 02:35:18","would it surprise you to learn that i just found my way into a screaming match with my mother about r&b music and how awful her playlists are"
Sent,"2025-09-02 02:40:02","it’s so simple - if she insists on playing r&b it has to be before 1979 or it will be overproduced trashmusic. you put on a few songs from james brown live at the Apollo and then you cut that shit out and go back to listening to real music like elliott smith or radiohead"
Sent,"2025-09-02 02:40:29","😑😑"
Sent,"2025-09-02 02:42:55","i miss u and i miss u "
Sent,"2025-09-02 02:43:02","and… i miss you"
Sent,"2025-09-02 02:50:07","also ps - it occurred to me….out of nowhere.

i bet.
that YOU flip a personality switch in polite society

like i can not wait to see your ‘tough girl grrrr’ thing instantly morph into the most dainty, well-mannered performance of etiquette and grace when you get in front of somebody's parents. 
"
Sent,"2025-09-02 04:16:32","if you wonder why the camera looks kinda different now, this AI generated slop will explain what happened (kinda). so….. ￼"
Received,"2025-09-02 07:35:27","😭😭😂😂🫶🏼"
Received,"2025-09-02 07:36:28","Loved “i promise you, and i mean this sincerely, you are …”"
Received,"2025-09-02 07:37:49","Awww 🫶🏼 my cutieeee. I felt so “alone” too / but you are … you have … consumed .. nvm I’ll wait"
Received,"2025-09-02 07:38:53","“PLEASE, CRACKERS WITH CHEESE”

- Lil Wayne 
Kush 
2008"
Received,"2025-09-02 07:39:11","Edited to ““PLEASE, CRACKERS WITH CHEESE”

- Lil Wayne 
Kush 🎶 
2008 release ”"
Received,"2025-09-02 07:39:31","Laughed at an image"
Received,"2025-09-02 07:39:36","Loved “please let me fuck you without makeup you’re perfe…”"
Received,"2025-09-02 07:40:17","My favvvvvvv"
Received,"2025-09-02 07:40:45","Loved a movie"
Received,"2025-09-02 07:41:59","Loved a movie"
Received,"2025-09-02 07:42:49","Loved a movie"
Received,"2025-09-02 07:43:00","Love 😍😍😍😍"
Received,"2025-09-02 07:43:39","Laughed at “it’s so simple - if she insists on playing r&b it …”"
Received,"2025-09-02 07:45:55","Oh you have no idea. This is HUGE to me. I’m a completely different entity but yet not but it’s exactly as you put it - and my elders love me either way but I am SUCH a different person in public. You’ll see."
Received,"2025-09-02 07:48:13","It’s a pet peeve of mine. Or OCD I’m not sure which one but - like you’re going to laugh so hard but even with YOUR mother knowing what I know and even if she asks or whatever like it will take me forever to smoke weed with her. I don’t even like parents knowing I smoke weed. As they blaze and try to pass me the bowl lol"
Received,"2025-09-02 07:51:11","Even my own step father (who is now upstairs) lol I am 35 .. I still don’t cuss in front of him. He’s somewhat responsible for that but it’s my choice also (you’ll hear all about the power dynamic between me and my step dad later) but me and my mother? Sailor mouths "
Received,"2025-09-02 07:52:47","By the way I hope you got sleep baby love I passed tf out .. clearly. But I hope you got SLEEEPP"
Sent,"2025-09-02 07:59:14","hey hi i can’t wait to wake up next to you"
Sent,"2025-09-02 08:01:45",inshallah
Received,"2025-09-02 08:09:42","And you didn’t lol but who are you listening to?"
Sent,"2025-09-02 08:10:39","i might not know all the details…..
but i know who you are
we’re the same "
Received,"2025-09-02 08:10:40","Is that our boy Nick?"
Sent,"2025-09-02 08:11:17","￼"
Sent,"2025-09-02 08:13:06","i got a little bit and i’ll probz pass out for another hour or two."
Sent,"2025-09-02 08:14:53","nooooo it's noah samsen"
Sent,"2025-09-02 08:19:43","hahahah omg hold on"
Sent,"2025-09-02 08:19:50","worlds collide"
Sent,"2025-09-02 08:20:06","that’s fucking hilarious"
Sent,"2025-09-02 08:20:14","hasan mentioned your boy"
Sent,"2025-09-02 08:20:20","and you know what the first thing he said was"
Sent,"2025-09-02 08:20:33","“oh shit! lev parnas’s son aaron?”"
Sent,"2025-09-02 08:21:09",https://www.youtube.com/watch?v=v7KcQdCIiEo
Sent,"2025-09-02 08:21:41",3:30
Received,"2025-09-02 08:22:27","Why did you touch it? 😭 now it’s brokennnn"
Received,"2025-09-02 08:22:35","I should have stayed quiet "
Sent,"2025-09-02 08:45:48","oh shit it’s not working"
Sent,"2025-09-02 08:45:50","hold on i fix"
Sent,"2025-09-02 09:04:38","milo won’t come upstairs to sleep with me 😟"
Sent,"2025-09-02 09:58:58","i miss u"
Received,"2025-09-02 10:04:49","￼"
Sent,"2025-09-02 10:19:17","oh no that’s not good"
Sent,"2025-09-02 10:30:29","oh fuck me this is going to ruin my only way to get subs ughhhh"
Sent,"2025-09-02 10:30:45","he’s being a fucking baby boy about it"
Received,"2025-09-02 10:45:04","I love how you just don’t text me back"
Received,"2025-09-02 10:45:11","It’s probably my favorite"
Sent,"2025-09-02 10:45:24",??
Sent,"2025-09-02 10:45:25","i did"
Sent,"2025-09-02 10:47:14","testing testing 1-2-3"
Received,"2025-09-02 10:48:21",Annoying
Received,"2025-09-02 11:05:12","No um FB"
Received,"2025-09-02 11:05:17","Messenger either?"
Received,"2025-09-02 11:05:20","I give up"
Sent,"2025-09-02 11:17:14","￼"
Sent,"2025-09-02 11:17:21","i’m not ignoring you i promise "
Received,"2025-09-02 11:18:31",Corny
Sent,"2025-09-02 11:19:27","ohhhhhhhh harsh"
Sent,"2025-09-02 11:19:33","i’m here if you need me "
Sent,"2025-09-02 11:19:39","i miss u"
Sent,"2025-09-02 11:20:38","okay slowly coming in now"
Sent,"2025-09-02 11:20:49","i got the picture of the danny box"
Received,"2025-09-02 13:06:11",Hi
Received,"2025-09-02 13:06:34","￼"
Sent,"2025-09-02 13:06:42","￼"
Received,"2025-09-02 13:06:45","I still never got the texts either from all day"
Sent,"2025-09-02 13:06:46","god damn "
Sent,"2025-09-02 13:07:01","i tell you when it doesn’t line up"
Received,"2025-09-02 13:07:14","Chill. Don’t get carried away you don’t know what you’re doing lol "
Sent,"2025-09-02 13:07:21","but that’s about at good of a description of me as i could "
Sent,"2025-09-02 13:07:36","oh you’re kidding me"
Received,"2025-09-02 13:07:42","You have a birth chart of your life from start to finish. Here is you if your time is 100% accurate "
Sent,"2025-09-02 13:07:43","you get ME "
Sent,"2025-09-02 13:07:53","to even buy in the smallest amount on ASTROLOGY"
Sent,"2025-09-02 13:07:58","lmao i love you"
Sent,"2025-09-02 13:08:17","you just accomplished an impossible feat of persuasion"
Received,"2025-09-02 13:08:33","Because everyone is retarded. Just trust me. Look"
Sent,"2025-09-02 13:08:34","and then immediately go “yeah cut that shit out you’re an amateur” lmao"
Received,"2025-09-02 13:08:41","I’m answering the question "
Sent,"2025-09-02 13:08:46","i’m joking"
Received,"2025-09-02 13:08:47","I’m waiting for this order"
Received,"2025-09-02 13:09:00","Loved “and then immediately go “yeah cut that shit out yo…”"
Sent,"2025-09-02 13:09:07","but i did give it the specifics￼"
Sent,"2025-09-02 13:09:26","not that it’s going to be as precise or as granular as a real reading"
Received,"2025-09-02 13:10:33","Holy shit"
Received,"2025-09-02 13:10:36","￼"
Received,"2025-09-02 13:10:43",Chill.
Sent,"2025-09-02 13:10:50","i was about to say before that - you will appreciate when you actually sell me on an idea or a belief system because you can know thati won’t pretend to believe in something that i don’t actually buy into"
Received,"2025-09-02 13:11:22","￼"
Received,"2025-09-02 13:12:42","Do not touch it"
Sent,"2025-09-02 13:13:01","okay you’re right also"
Sent,"2025-09-02 13:13:17","￼"
Sent,"2025-09-02 13:13:31","come on you gotta let me investigate a little bit on my own here"
Sent,"2025-09-02 13:13:39","i’ll defer to you for the actual theory"
Received,"2025-09-02 13:14:38","￼"
Received,"2025-09-02 13:15:10","￼"
Received,"2025-09-02 13:15:37","￼"
Sent,"2025-09-02 13:15:51","hmmm i had a thought listening to that"
Sent,"2025-09-02 13:16:01","when you say “you can’t prove anything to me in this life”"
Received,"2025-09-02 13:16:10","￼"
Received,"2025-09-02 13:16:15","Loved “when you say “you can’t prove anything to me in th…”"
Sent,"2025-09-02 13:16:57","does that mean “you might introduce me to a thought process or ideology but i need to find my own way into actually believing it”

OR does it mean
“you can’t influence my belief system at all because it is fixed and immovable”"
Sent,"2025-09-02 13:17:01","i think you’re saying the first"
Received,"2025-09-02 13:21:42","￼"
Received,"2025-09-02 13:21:48","￼"
Received,"2025-09-02 13:22:09","￼"
Received,"2025-09-02 13:23:15","￼"
Received,"2025-09-02 13:24:36","￼"
Received,"2025-09-02 13:26:22","￼"
Received,"2025-09-02 13:29:13","￼"
Received,"2025-09-02 13:29:13","K I’m done"
Sent,"2025-09-02 13:29:20","i am going to listen to you"
Sent,"2025-09-02 13:29:54","and i am going to follow your instructions even though i would usually explore something independently"
Sent,"2025-09-02 13:30:07","and it’s because you’re so fucking smart"
Sent,"2025-09-02 13:30:31","i will give you leeway that i would never in a million years give anyone else"
Sent,"2025-09-02 13:31:36","okay honest answer: how many people have you had this kind of crazy cluster of similarities with"
Sent,"2025-09-02 13:32:30","you’re literally magic so this might be how it feels with everyone"
Received,"2025-09-02 13:32:34","￼"
Sent,"2025-09-02 13:34:08","yessss it was"
Sent,"2025-09-02 13:34:21","you sounded way sexier than that bitch though"
Received,"2025-09-02 13:35:16",Lmao
Received,"2025-09-02 13:35:39","￼"
Received,"2025-09-02 13:36:52","￼"
Received,"2025-09-02 13:40:25","￼"
Received,"2025-09-02 13:40:30","￼"
Received,"2025-09-02 13:40:34","￼"
Received,"2025-09-02 13:40:38","￼"
Received,"2025-09-02 13:42:39","I sent 4 SS’s - that’s 2 aspects out of our 70 - you see the top the titles? Yea. People are retarded. They have not the slightest clue about anything and we are not surprised. Let me know if you want me to send you a few more. I’ll be back in “town” in 16"
Received,"2025-09-02 13:42:48","15 lol or 16 mins idk"
Sent,"2025-09-02 13:43:56","so the VERB EDGE in that is a little over my head but i uploaded all of what you sent me and got a synopsis and it is undeniably spot on"
Sent,"2025-09-02 13:44:25",https://chatgpt.com/s/t_68b72ce1e9c08191b7fe51d2d08383c4
Sent,"2025-09-02 13:44:44","perfect i have to help suz"
Received,"2025-09-02 13:48:13","I think I’m good. Lmk."
Received,"2025-09-02 13:48:45","￼"
Received,"2025-09-02 13:49:42","￼"
Sent,"2025-09-02 13:51:03","??? can you tell me if the conclusions match with what your reading is saying"
Received,"2025-09-02 13:51:37","I’m the one fucking driving lol"
Sent,"2025-09-02 13:51:39","i’m not being thick i just don’t understand the planetary stuff and the connection"
Received,"2025-09-02 13:51:42","You do it"
Sent,"2025-09-02 13:51:44","NOT NOW!"
Received,"2025-09-02 13:51:48","Did you get my pics? "
Sent,"2025-09-02 13:51:49","please be safe"
Sent,"2025-09-02 13:51:55","i did"
Received,"2025-09-02 13:52:08","Always safe I just can’t analyze that fucking hard driving Jesus Christ lol"
Sent,"2025-09-02 13:52:26","nonono please don’t do anything like that i do not want you even texting "
Sent,"2025-09-02 13:52:44","just know"
Received,"2025-09-02 13:53:01","I always do and will and if it’s not you it’s someone else"
Sent,"2025-09-02 13:53:35","i would be SHATTERED if something happened to you…even just on a selfish angle.. i finally found perfect beautiful wonderful amazing person who i actually love to talk to and stuff"
Sent,"2025-09-02 13:53:47","it would be very unfair of you to deprive me of that"
Sent,"2025-09-02 13:53:49",lmao
Received,"2025-09-02 13:54:10","￼"
Received,"2025-09-02 13:54:28","￼"
Sent,"2025-09-02 13:54:57","shetttttt eppppp sorry i know you’re gonna take your own path always"
Received,"2025-09-02 13:56:02","￼"
Received,"2025-09-02 13:57:16","￼"
Received,"2025-09-02 13:58:22","￼"
Received,"2025-09-02 13:59:35","￼"
Sent,"2025-09-02 14:01:42","sorry hold for one minute i’m vacuuming so i can’t listen yet"
Received,"2025-09-02 14:01:53","You’re fine I’m done"
Received,"2025-09-02 14:02:08","No I’m not"
Received,"2025-09-02 14:03:47","￼"
Received,"2025-09-02 14:08:42","￼"
Sent,"2025-09-02 14:09:34","i fucking"
Sent,"2025-09-02 14:09:36","hate today"
Sent,"2025-09-02 14:09:43","just hate so much"
Sent,"2025-09-02 14:09:50","milo doesn’t feel well"
Received,"2025-09-02 14:10:03","Emphasized “milo doesn’t feel well”"
Sent,"2025-09-02 14:10:03","suz is asking me to do all this shit"
Sent,"2025-09-02 14:10:12","you’re the one person i can’t be mad at"
Received,"2025-09-02 14:10:25","Emphasized “suz is asking me to do all this shit”"
Received,"2025-09-02 14:10:28","Loved “you’re the one person i can’t be mad at”"
Sent,"2025-09-02 14:10:38","you’re a dream"
Sent,"2025-09-02 14:11:09","i promise i will catch up on the voice messages i want to know"
Received,"2025-09-02 14:16:18","😘😘"
